WKT;name
POINT (500503.407847472 5787265.8359984);Świętokrzyska
POINT (500682.595176826 5786747.62733374);Centrum
POINT (501045.041366268 5785336.94145642);Politechnika
POINT (498935.339341288 5790989.87084654);Plac Wilsona
POINT (500523.074725496 5784230.48486219);Pole Mokotowskie
POINT (500826.081879315 5783166.93178087);Racławicka
POINT (501127.407748352 5782162.27070181);Wierzbno
POINT (501580.854200597 5781251.53947058);Wilanowska
POINT (501793.025171864 5780253.6677381);Służew
POINT (501884.11025134 5779060.19051528);Ursynów
POINT (502372.568606663 5778394.65746917);Stokłosy
POINT (503154.543174876 5777637.04466542);Imielin
POINT (503856.607127025 5776731.1069007);Natolin
POINT (504447.376856092 5775728.11312872);Kabaty
POINT (500689.322059119 5786749.87505602);Centrum
POINT (498833.577309647 5786622.5425732);Rondo Daszyńskiego
POINT (502175.333353231 5787717.09299825);Centrum Nauki Kopernik
POINT (498071.389744664 5791260.28295492);Marymont
POINT (496552.487815349 5792390.54173528);Stare Bielany
POINT (500540.628692891 5784233.21180336);Pole Mokotowskie
POINT (500517.871032959 5787270.39781079);Świętokrzyska
POINT (501596.024270227 5781256.894315);Wilanowska
POINT (503869.230245604 5776735.03185968);Natolin
POINT (503159.552648955 5777646.25734012);Imielin
POINT (501895.985262631 5779059.27186277);Ursynów
POINT (499608.630366006 5789718.69322166);Dworzec Gdański
POINT (504233.123010953 5792598.80438459);Zacisze
POINT (504459.735332011 5775731.79464671);Kabaty
POINT (502428.411796902 5789300.66841658);Dworzec Wileński
POINT (502166.096794941 5787727.8112695);Centrum Nauki Kopernik
POINT (502416.790750627 5789292.82117266);Dworzec Wileński
POINT (501149.665347259 5787374.03464539);Nowy Świat-Uniwersytet
POINT (501145.933830373 5787387.01401112);Nowy Świat-Uniwersytet
POINT (498829.885575428 5786636.05755129);Rondo Daszyńskiego
POINT (499884.870855863 5786959.25819034);Rondo ONZ
POINT (499880.486735272 5786972.53883021);Rondo ONZ
POINT (502931.972556792 5788509.43433944);Stadion Narodowy
POINT (502917.942477303 5788509.70411362);Stadion Narodowy
POINT (500614.051279032 5787201.19204979);Świętokrzyska
POINT (500608.95510486 5787215.2505524);Świętokrzyska
POINT (495211.494923716 5793375.99694796);Młociny
POINT (495219.352883406 5793390.86057982);Młociny
POINT (498932.764764299 5790980.56162158);Plac Wilsona
POINT (501054.599122076 5785335.21946402);Politechnika
POINT (500840.209091449 5783166.12220144);Racławicka
POINT (500086.593318604 5788290.60487658);Ratusz-Arsenał
POINT (496544.923930409 5792373.25102785);Stare Bielany
POINT (502382.368831914 5778401.23560978);Stokłosy
POINT (497269.353861076 5791831.72814483);Słodowiec
POINT (497276.952993904 5791841.80122016);Słodowiec
POINT (501804.999439995 5780253.98351384);Służew
POINT (495864.646047816 5792886.80292489);Wawrzyszew
POINT (495873.094536276 5792899.6093652);Wawrzyszew
POINT (501143.443889315 5782166.74567806);Wierzbno
POINT (499619.42863893 5789722.18492992);Dworzec Gdański
POINT (498069.222013344 5791248.22668451);Marymont
POINT (500071.59335108 5788285.52154029);Ratusz Arsenał
POINT (496200.792246245 5787635.80943459);Księcia Janusza
POINT (503498.099894848 5790987.63478597);Targówek Mieszkaniowy
POINT (504245.801845151 5792601.67383072);Zacisze
POINT (503102.918207656 5790349.65669793);Szwedzka
POINT (503110.698840139 5790338.004905);Szwedzka
POINT (503512.08942975 5790986.56579351);Targówek Mieszkaniowy
POINT (503761.627999824 5791633.15125282);Trocka
POINT (503751.54320812 5791642.85380221);Trocka
POINT (496202.933328376 5787649.64448448);Księcia Janusza
POINT (497696.295528413 5786897.63912442);Płocka
POINT (497710.09889345 5786899.96849245);Płocka
POINT (497276.783218685 5787479.90478045);Młynów
POINT (497274.624580594 5787466.06928231);Młynów
POINT (501974.614335482 5793699.71401304);Bródno
POINT (501972.655697906 5793685.85416807);Bródno
POINT (494216.266432143 5787651.79002488);Bemowo
POINT (494219.022740014 5787638.07245281);Bemowo
POINT (495219.753347195 5787763.40352987);Ulrychów
POINT (495221.535276109 5787777.29412227);Ulrychów
POINT (503321.050974242 5793533.62653739);Kondratowicza
POINT (503320.39879886 5793519.65580849);Kondratowicza
